PLAYER,TEAM,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,W,L,SO,GAA,Sv%,CLAUSE,EXPIRY,CAP HIT,SALARY
1043. Ryan Schmelzer,NJD,30,C,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,UFA,"$775,000","$775,000"
1044. Valtteri Puustinen,PIT,25,"RW, LW",Right,52,5,15,20,0.38,4,86,0.06,11:44,-,-,-,-,-,,UFA,"$775,000","$775,000"
1045. Declan Carlile,TBL,24,LD,Left,1,0,0,0,0.00,1,0,0.00,11:27,-,-,-,-,-,,RFA,"$775,000","$775,000"
1046. Guillaume Brisebois,VAN,26,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,UFA,"$775,000","$775,000"
1047. Zac Dalpe,FLA,34,C,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,UFA,"$775,000","$775,000"
1048. Louis Belpedio,PHI,28,RD,Right,12,2,2,4,0.33,6,12,0.17,13:12,-,-,-,-,-,,UFA,"$775,000","$775,000"
1049. Noah Juulsen,VAN,27,RD,Right,54,1,6,7,0.13,-1,30,0.03,14:53,-,-,-,-,-,,UFA,"$775,000","$775,000"
1050. Alex Belzile,NYR,32,"C, RW",Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,UFA,"$775,000","$775,000"
1051. Noah Juulsen,VAN,27,RD,Right,54,1,6,7,0.13,-1,30,0.03,14:53,-,-,-,-,-,,UFA,"$775,000","$775,000"
1052. Alex Belzile,NYR,32,"C, RW",Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,UFA,"$775,000","$775,000"
1053. Drake Caggiula,EDM,30,"LW, RW",Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,UFA,"$775,000","$775,000"
1054. Justin Dowling,NJD,33,"C, LW",Left,2,1,0,1,0.50,-2,3,0.33,10:31,-,-,-,-,-,,UFA,"$775,000","$775,000"
1055. Gage Quinney,VGK,28,"LW, C",Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,UFA,"$775,000","$775,000"
1056. Dylan McIlrath,WSH,32,RD,Right,3,0,1,1,0.33,1,1,0.00,10:18,-,-,-,-,-,,UFA,"$775,000","$775,000"
1057. John Ludvig,PIT,23,LD,Left,33,3,2,5,0.15,-12,24,0.13,11:48,-,-,-,-,-,,RFA,"$775,000","$775,000"
1058. Nick Abruzzese,TOR,25,"LW, C",Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$775,000","$775,000"
1059. Justin Brazeau,BOS,26,RW,Right,19,5,2,7,0.37,4,31,0.16,11:07,-,-,-,-,-,,UFA,"$775,000","$775,000"
1060. Brendan Lemieux,CAR,28,"LW, RW",Left,32,3,2,5,0.16,0,29,0.10,08:00,-,-,-,-,-,,UFA,"$775,000","$775,000"
1061. Olivier Rodrigue,EDM,23,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$775,000","$775,000"
1062. Nicolas Mattinen,TOR,26,D,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,UFA,"$775,000","$775,000"
1063. Samuel Laberge,NJD,27,C,Left,2,0,0,0,0.00,0,0,0.00,03:05,-,-,-,-,-,,UFA,"$775,000","$775,000"
1064. Ryan Suzuki,CAR,23,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$775,000","$775,000"
1065. Cole Reinhardt,OTT,24,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$775,000","$775,000"
1066. Nikolas Matinpalo,OTT,25,RD,Right,4,0,0,0,0.00,1,2,0.00,07:00,-,-,-,-,-,,RFA,"$775,000","$775,000"
1067. Brian Halonen,NJD,25,"LW, RW",Right,2,0,0,0,0.00,0,2,0.00,08:17,-,-,-,-,-,,UFA,"$775,000","$775,000"
1068. Christian Wolanin,VAN,29,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,UFA,"$775,000","$775,000"
1069. Matt Tomkins,TBL,30,G,Left,6,-,-,-,-,-,-,-,-,3,2,0,3.33,.892,,UFA,"$775,000","$775,000"
1070. Jake Livingstone,NSH,25,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$775,000","$775,000"
1071. Lane Pederson,EDM,26,C,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,UFA,"$775,000","$775,000"
1072. Vinni Lettieri,MIN,29,"C, RW",Right,46,5,4,9,0.20,-7,47,0.11,09:35,-,-,-,-,-,,UFA,"$775,000","$775,000"
1073. Jakub Skarek,NYI,24,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$775,000","$775,000"
1074. Tim Gettinger,DET,26,"LW, RW",Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,UFA,"$775,000","$775,000"
1075. Connor Hughes,MTL,27,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,UFA,"$775,000","$775,000"
1076. Rodrigo Abols,PHI,28,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,UFA,"$775,000","$775,000"
1077. Patrik Koch,UTA,27,D,Left,1,0,0,0,0.00,0,1,0.00,09:20,-,-,-,-,-,,UFA,"$775,000","$775,000"
1078. Zack MacEwen,OTT,27,"RW, C",Right,30,2,1,3,0.10,-4,17,0.12,06:23,-,-,-,-,-,,UFA,"$775,000","$775,000"
1079. Nathan Walker,STL,30,LW,Left,45,7,6,13,0.29,-1,43,0.16,10:48,-,-,-,-,-,,UFA,"$775,000","$775,000"
1080. Brandon Scanlin,NYR,25,LD,Left,1,0,0,0,0.00,0,0,0.00,10:46,-,-,-,-,-,,UFA,"$775,000","$775,000"
1081. Matt Villalta,UTA,25,G,Left,2,-,-,-,-,-,-,-,-,0,1,0,4.23,.828,,UFA,"$775,000","$775,000"
1082. Jonas Røndbjerg,VGK,25,"LW, RW",Left,20,1,2,3,0.15,2,25,0.04,11:16,-,-,-,-,-,,RFA,"$766,667","$775,000"
1083. Jake Leschyshyn,NYR,25,C,Left,1,0,0,0,0.00,-1,0,0.00,06:28,-,-,-,-,-,,RFA,"$766,667","$775,000"
1084. Logan Thompson,VGK,27,G,Right,46,-,-,-,-,-,-,-,-,25,14,1,2.70,.908,,UFA,"$766,667","$775,000"
1085. Joseph Woll,TOR,25,G,Left,25,-,-,-,-,-,-,-,-,12,11,0,2.94,.907,,RFA,"$766,667","$775,000"
1086. Johnathan Kovacevic,MTL,26,RD,Right,62,6,7,13,0.21,11,46,0.13,16:31,-,-,-,-,-,,UFA,"$766,667","$775,000"
